id,x,y,z,ablated,v,bulkheadyoungs,nickdepth,nickw,nickc,bbmin
1045,-0.246477,3.42462,0.639535,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
59,-0.264605,3.42477,0.499154,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
187,-0.207444,3.42458,0.770911,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
1045,-0.246477,3.42462,0.639535,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
616,-0.145502,3.42444,0.882473,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
187,-0.207444,3.42458,0.770911,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
16,-0.067286,3.42429,0.971154,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
616,-0.145502,3.42444,0.882473,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
16,-0.067286,3.42429,0.971154,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
615,0.0258834,3.42418,1.02226,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
615,0.0258834,3.42418,1.02226,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
186,0.125004,3.42417,1.03878,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
186,0.125004,3.42417,1.03878,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
1044,0.224129,3.42416,1.02225,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
1044,0.224129,3.42416,1.02225,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
38,0.317279,3.42429,0.97115,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
38,0.317279,3.42429,0.97115,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
664,0.395508,3.42444,0.88246,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
664,0.395508,3.42444,0.88246,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
235,0.457461,3.42458,0.770915,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
235,0.457461,3.42458,0.770915,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
1093,0.496483,3.42462,0.639541,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
1093,0.496483,3.42462,0.639541,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
60,0.514616,3.42474,0.499176,0,3.49222,40,0.99313,0.327778,0.124845,0.501464
1045,-0.308068,3.43413,0.65836,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
59,-0.335852,3.43488,0.517099,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
187,-0.249408,3.43372,0.784829,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
1045,-0.308068,3.43413,0.65836,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
616,-0.167057,3.4329,0.884154,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
187,-0.249408,3.43372,0.784829,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
16,-0.0715209,3.43241,0.954413,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
616,-0.167057,3.4329,0.884154,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
16,-0.0715209,3.43241,0.954413,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
615,0.0287699,3.4316,0.983813,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
615,0.0287699,3.4316,0.983813,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
186,0.125057,3.43206,0.989083,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
186,0.125057,3.43206,0.989083,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
1044,0.221324,3.43176,0.984094,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
1044,0.221324,3.43176,0.984094,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
38,0.321753,3.4324,0.955077,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
38,0.321753,3.4324,0.955077,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
664,0.417124,3.433,0.884603,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
664,0.417124,3.433,0.884603,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
235,0.499681,3.43369,0.785436,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
235,0.499681,3.43369,0.785436,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
1093,0.558096,3.43414,0.658551,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
1093,0.558096,3.43414,0.658551,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
60,0.586259,3.43458,0.517535,1,3.49222,40,0.99313,0.327778,0.124845,0.501464
1045,-0.248466,3.43389,0.639997,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
59,-0.268612,3.43433,0.498899,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
187,-0.208425,3.43361,0.771254,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
1045,-0.248466,3.43389,0.639997,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
616,-0.145722,3.43343,0.882583,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
187,-0.208425,3.43361,0.771254,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
16,-0.0668634,3.43374,0.970668,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
616,-0.145722,3.43343,0.882583,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
16,-0.0668634,3.43374,0.970668,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
615,0.0262039,3.43383,1.02133,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
615,0.0262039,3.43383,1.02133,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
186,0.125002,3.43401,1.03762,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
186,0.125002,3.43401,1.03762,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
1044,0.223801,3.43389,1.02134,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
1044,0.223801,3.43389,1.02134,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
38,0.31685,3.43358,0.970657,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
38,0.31685,3.43358,0.970657,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
664,0.395763,3.43348,0.882663,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
664,0.395763,3.43348,0.882663,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
235,0.458433,3.43363,0.771282,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
235,0.458433,3.43363,0.771282,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
1093,0.49845,3.43384,0.639969,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
1093,0.49845,3.43384,0.639969,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
60,0.518599,3.43434,0.498857,0,3.99222,40,0.993117,0.327778,0.124855,0.501451
1045,-0.323794,3.46033,0.671999,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
59,-0.349421,3.46043,0.526498,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
187,-0.26255,3.46063,0.800726,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
1045,-0.323794,3.46033,0.671999,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
616,-0.175497,3.46008,0.899285,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
187,-0.26255,3.46063,0.800726,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
16,-0.0753991,3.45917,0.966953,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
616,-0.175497,3.46008,0.899285,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
16,-0.0753991,3.45917,0.966953,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
615,0.0283955,3.45811,0.991519,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
615,0.0283955,3.45811,0.991519,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
186,0.125139,3.45873,0.991302,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
186,0.125139,3.45873,0.991302,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
1044,0.221881,3.45832,0.991455,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
1044,0.221881,3.45832,0.991455,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
38,0.325494,3.45939,0.966718,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
38,0.325494,3.45939,0.966718,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
664,0.425441,3.46031,0.89915,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
664,0.425441,3.46031,0.89915,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
235,0.513013,3.46058,0.801052,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
235,0.513013,3.46058,0.801052,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
1093,0.574228,3.46045,0.672071,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
1093,0.574228,3.46045,0.672071,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
60,0.599121,3.46016,0.52646,1,3.99222,40,0.993117,0.327778,0.124855,0.501451
1045,-0.249695,3.45834,0.653011,0,4.49222,40,1.01252,0.327778,0.124845,0.520851
59,-0.269196,3.45934,0.50907,0,4.49222,40,1.01252,0.327778,0.124845,0.520851
187,-0.209761,3.45792,0.785603,0,4.49222,40,1.01252,0.327778,0.124845,0.520851
1045,-0.249695,3.45834,0.653011,0,4.49222,40,1.01252,0.327778,0.124845,0.520851
616,-0.146829,3.45781,0.897696,0,4.49222,40,1.01252,0.327778,0.124845,0.520851
187,-0.209761,3.45792,0.785603,0,4.49222,40,1.01252,0.327778,0.124845,0.520851
16,-0.0677334,3.45805,0.98653,0,4.49222,40,1.01252,0.327778,0.124845,0.520851
616,-0.146829,3.45781,0.897696,0,4.49222,40,1.01252,0.327778,0.124845,0.520851
16,-0.0677334,3.45805,0.98653,0,4.49222,40,1.01252,0.327778,0.124845,0.520851
