id,x,y,z,ablated,v,bulkheadyoungs,nickdepth,nickw,nickc,bbmin
1045,-0.248363,3.42611,0.639523,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
59,-0.267264,3.42623,0.498132,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
187,-0.208703,3.42597,0.771155,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
1045,-0.248363,3.42611,0.639523,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
616,-0.146183,3.42579,0.882767,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
187,-0.208703,3.42597,0.771155,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
16,-0.0674283,3.42567,0.971351,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
616,-0.146183,3.42579,0.882767,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
16,-0.0674283,3.42567,0.971351,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
615,0.0258223,3.42554,1.02232,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
615,0.0258223,3.42554,1.02232,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
186,0.124985,3.42549,1.03889,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
186,0.124985,3.42549,1.03889,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
1044,0.22415,3.42554,1.02236,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
1044,0.22415,3.42554,1.02236,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
38,0.317409,3.42565,0.971365,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
38,0.317409,3.42565,0.971365,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
664,0.396192,3.42578,0.882799,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
664,0.396192,3.42578,0.882799,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
235,0.458705,3.42601,0.771198,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
235,0.458705,3.42601,0.771198,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
1093,0.498387,3.42614,0.639589,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
1093,0.498387,3.42614,0.639589,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
60,0.517261,3.42628,0.4982,0,3.49222,15,0.80017,0.198611,0.124847,0.502254
1045,-0.264902,3.43588,0.645349,1,3.49222,15,0.80017,0.198611,0.124847,0.502254
59,-0.290936,3.4359,0.504471,1,3.49222,15,0.80017,0.198611,0.124847,0.502254
187,-0.21639,3.43577,0.774295,1,3.49222,15,0.80017,0.198611,0.124847,0.502254
1045,-0.264902,3.43588,0.645349,1,3.49222,15,0.80017,0.198611,0.124847,0.502254
616,-0.146852,3.4355,0.880697,1,3.49222,15,0.80017,0.198611,0.124847,0.502254
187,-0.21639,3.43577,0.774295,1,3.49222,15,0.80017,0.198611,0.124847,0.502254
16,-0.0644023,3.43529,0.963309,1,3.49222,15,0.80017,0.198611,0.124847,0.502254
616,-0.146852,3.4355,0.880697,1,3.49222,15,0.80017,0.198611,0.124847,0.502254
16,-0.0644023,3.43529,0.963309,1,3.49222,15,0.80017,0.198611,0.124847,0.502254
615,0.0282181,3.43505,1.00944,1,3.49222,15,0.80017,0.198611,0.124847,0.502254
615,0.0282181,3.43505,1.00944,1,3.49222,15,0.80017,0.198611,0.124847,0.502254
