id,x,y,z,ablated,v,bulkheadyoungs,nickdepth,nickw,nickc,bbmin
1045,-0.248363,3.42611,0.639523,0,3.49222,15,0.703295,0.134028,0.124847,0.502254
59,-0.267264,3.42623,0.498132,0,3.49222,15,0.703295,0.134028,0.124847,0.502254
187,-0.208703,3.42597,0.771155,0,3.49222,15,0.703295,0.134028,0.124847,0.502254
1045,-0.248363,3.42611,0.639523,0,3.49222,15,0.703295,0.134028,0.124847,0.502254
616,-0.146183,3.42579,0.882767,0,3.49222,15,0.703295,0.134028,0.124847,0.502254
187,-0.208703,3.42597,0.771155,0,3.49222,15,0.703295,0.134028,0.124847,0.502254
16,-0.0674283,3.42567,0.971351,0,3.49222,15,0.703295,0.134028,0.124847,0.502254
616,-0.146183,3.42579,0.882767,0,3.49222,15,0.703295,0.134028,0.124847,0.502254
16,-0.0674283,3.42567,0.971351,0,3.49222,15,0.703295,0.134028,0.124847,0.502254
615,0.0258223,3.42554,1.02232,0,3.49222,15,0.703295,0.134028,0.124847,0.502254
615,0.0258223,3.42554,1.02232,0,3.49222,15,0.703295,0.134028,0.124847,0.502254
186,0.124985,3.42549,1.03889,0,3.49222,15,0.703295,0.134028,0.124847,0.502254
186,0.124985,3.42549,1.03889,0,3.49222,15,0.703295,0.134028,0.124847,0.502254
1044,0.22415,3.42554,1.02236,0,3.49222,15,0.703295,0.134028,0.124847,0.502254
1044,0.22415,3.42554,1.02236,0,3.49222,15,0.703295,0.134028,0.124847,0.502254
38,0.317409,3.42565,0.971365,0,3.49222,15,0.703295,0.134028,0.124847,0.502254
38,0.317409,3.42565,0.971365,0,3.49222,15,0.703295,0.134028,0.124847,0.502254
664,0.396192,3.42578,0.882799,0,3.49222,15,0.703295,0.134028,0.124847,0.502254
664,0.396192,3.42578,0.882799,0,3.49222,15,0.703295,0.134028,0.124847,0.502254
235,0.458705,3.42601,0.771198,0,3.49222,15,0.703295,0.134028,0.124847,0.502254
