id,x,y,z,ablated,v,bulkheadyoungs,nickdepth,nickw,nickc,bbmin
1045,-0.249378,3.42832,0.639347,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
59,-0.269118,3.42856,0.497487,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
187,-0.209324,3.428,0.771053,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
1045,-0.249378,3.42832,0.639347,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
616,-0.146619,3.42761,0.882811,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
187,-0.209324,3.428,0.771053,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
16,-0.0675886,3.42731,0.971454,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
616,-0.146619,3.42761,0.882811,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
16,-0.0675886,3.42731,0.971454,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
615,0.0257649,3.4271,1.02263,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
615,0.0257649,3.4271,1.02263,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
186,0.125,3.42707,1.03923,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
186,0.125,3.42707,1.03923,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
1044,0.22423,3.42716,1.02267,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
1044,0.22423,3.42716,1.02267,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
38,0.317572,3.42733,0.971427,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
38,0.317572,3.42733,0.971427,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
664,0.396629,3.42764,0.882822,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
664,0.396629,3.42764,0.882822,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
235,0.459372,3.42792,0.771071,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
235,0.459372,3.42792,0.771071,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
1093,0.49932,3.42825,0.639341,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
1093,0.49932,3.42825,0.639341,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
60,0.51914,3.42837,0.497602,0,3.49222,10,0.897256,0.263194,0.124845,0.502464
1045,-0.293827,3.43735,0.651544,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
59,-0.324678,3.43721,0.509401,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
187,-0.236311,3.43746,0.77915,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
1045,-0.293827,3.43735,0.651544,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
616,-0.157223,3.43719,0.881137,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
187,-0.236311,3.43746,0.77915,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
16,-0.0661917,3.4369,0.955895,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
616,-0.157223,3.43719,0.881137,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
16,-0.0661917,3.4369,0.955895,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
615,0.0295141,3.43665,0.99262,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
615,0.0295141,3.43665,0.99262,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
186,0.125002,3.4365,1.00415,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
186,0.125002,3.4365,1.00415,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
1044,0.220571,3.43668,0.992795,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
1044,0.220571,3.43668,0.992795,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
38,0.316153,3.4369,0.955768,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
38,0.316153,3.4369,0.955768,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
664,0.407187,3.43721,0.88096,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
664,0.407187,3.43721,0.88096,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
235,0.486398,3.43745,0.779084,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
235,0.486398,3.43745,0.779084,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
1093,0.543851,3.4373,0.651458,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
1093,0.543851,3.4373,0.651458,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
60,0.574836,3.43716,0.509412,1,3.49222,10,0.897256,0.263194,0.124845,0.502464
1045,-0.256474,3.44503,0.644745,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
59,-0.278087,3.44533,0.499091,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
187,-0.215076,3.44494,0.778356,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
1045,-0.256474,3.44503,0.644745,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
616,-0.150248,3.44496,0.890773,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
187,-0.215076,3.44494,0.778356,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
16,-0.0687124,3.44519,0.978817,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
616,-0.150248,3.44496,0.890773,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
16,-0.0687124,3.44519,0.978817,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
615,0.0259309,3.44537,1.02883,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
615,0.0259309,3.44537,1.02883,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
186,0.125001,3.4455,1.04481,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
186,0.125001,3.4455,1.04481,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
1044,0.224071,3.44536,1.02886,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
1044,0.224071,3.44536,1.02886,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
38,0.31874,3.44518,0.978893,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
38,0.31874,3.44518,0.978893,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
664,0.400216,3.44496,0.890789,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
664,0.400216,3.44496,0.890789,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
235,0.46504,3.44495,0.778334,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
235,0.46504,3.44495,0.778334,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
1093,0.506467,3.44497,0.64471,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
1093,0.506467,3.44497,0.64471,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
60,0.528157,3.44535,0.49924,0,3.99222,10,0.908335,0.263194,0.124849,0.513543
1045,-0.312594,3.46388,0.664452,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
59,-0.34165,3.4639,0.515304,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
187,-0.251143,3.4638,0.795665,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
1045,-0.312594,3.46388,0.664452,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
616,-0.166426,3.46363,0.898156,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
187,-0.251143,3.4638,0.795665,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
16,-0.0698627,3.46337,0.97115,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
616,-0.166426,3.46363,0.898156,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
16,-0.0698627,3.46337,0.97115,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
615,0.0293767,3.46319,1.00536,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
615,0.0293767,3.46319,1.00536,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
186,0.124983,3.46311,1.01456,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
186,0.124983,3.46311,1.01456,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
1044,0.22065,3.46318,1.00547,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
1044,0.22065,3.46318,1.00547,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
38,0.319955,3.46335,0.971211,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
38,0.319955,3.46335,0.971211,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
664,0.416428,3.46359,0.898124,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
664,0.416428,3.46359,0.898124,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
235,0.501089,3.46377,0.795616,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
235,0.501089,3.46377,0.795616,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
1093,0.56256,3.46389,0.664497,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
1093,0.56256,3.46389,0.664497,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
60,0.591671,3.46384,0.515358,1,3.99222,10,0.908335,0.263194,0.124849,0.513543
1045,-0.263087,3.47765,0.658207,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
59,-0.284362,3.47821,0.50708,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
187,-0.221249,3.47738,0.794952,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
1045,-0.263087,3.47765,0.658207,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
616,-0.154441,3.47738,0.908993,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
187,-0.221249,3.47738,0.794952,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
16,-0.0705809,3.47785,0.997201,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
616,-0.154441,3.47738,0.908993,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
16,-0.0705809,3.47785,0.997201,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
615,0.0255896,3.47833,1.047,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
615,0.0255896,3.47833,1.047,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
186,0.124966,3.47864,1.06304,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
186,0.124966,3.47864,1.06304,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
1044,0.224405,3.47834,1.04694,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
1044,0.224405,3.47834,1.04694,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
38,0.320542,3.4778,0.997257,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
38,0.320542,3.4778,0.997257,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
664,0.404416,3.47731,0.908976,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
664,0.404416,3.47731,0.908976,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
235,0.471185,3.47723,0.794816,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
235,0.471185,3.47723,0.794816,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
1093,0.513318,3.4775,0.657998,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
1093,0.513318,3.4775,0.657998,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
60,0.534412,3.47829,0.506934,0,4.49222,10,0.932007,0.263194,0.124852,0.537216
1045,-0.330524,3.49447,0.676077,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
59,-0.359731,3.49449,0.520968,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
187,-0.265197,3.49443,0.810441,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
1045,-0.330524,3.49447,0.676077,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
616,-0.175298,3.49433,0.913603,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
187,-0.265197,3.49443,0.810441,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
16,-0.0736293,3.49419,0.984791,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
616,-0.175298,3.49433,0.913603,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
16,-0.0736293,3.49419,0.984791,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
615,0.0287187,3.49406,1.01669,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
615,0.0287187,3.49406,1.01669,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
186,0.125062,3.49398,1.02508,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
186,0.125062,3.49398,1.02508,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
1044,0.221423,3.49406,1.0167,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
1044,0.221423,3.49406,1.0167,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
38,0.323759,3.49418,0.984805,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
38,0.323759,3.49418,0.984805,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
664,0.425454,3.49432,0.913676,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
664,0.425454,3.49432,0.913676,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
235,0.515342,3.49442,0.810476,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
235,0.515342,3.49442,0.810476,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
1093,0.580575,3.49448,0.676079,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
1093,0.580575,3.49448,0.676079,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
60,0.60964,3.49456,0.521022,1,4.49222,10,0.932007,0.263194,0.124852,0.537216
1045,-0.26969,3.50736,0.666523,0,4.99222,10,0.943965,0.263194,0.124819,0.549173
59,-0.294394,3.50795,0.512428,0,4.99222,10,0.943965,0.263194,0.124819,0.549173
187,-0.225873,3.50722,0.804828,0,4.99222,10,0.943965,0.263194,0.124819,0.549173
1045,-0.26969,3.50736,0.666523,0,4.99222,10,0.943965,0.263194,0.124819,0.549173
616,-0.157552,3.50721,0.920336,0,4.99222,10,0.943965,0.263194,0.124819,0.549173
187,-0.225873,3.50722,0.804828,0,4.99222,10,0.943965,0.263194,0.124819,0.549173
16,-0.0720701,3.50752,1.00926,0,4.99222,10,0.943965,0.263194,0.124819,0.549173
616,-0.157552,3.50721,0.920336,0,4.99222,10,0.943965,0.263194,0.124819,0.549173
16,-0.0720701,3.50752,1.00926,0,4.99222,10,0.943965,0.263194,0.124819,0.549173
615,0.0252416,3.50777,1.05953,0,4.99222,10,0.943965,0.263194,0.124819,0.549173
615,0.0252416,3.50777,1.05953,0,4.99222,10,0.943965,0.263194,0.124819,0.549173
186,0.125029,3.50799,1.07595,0,4.99222,10,0.943965,0.263194,0.124819,0.549173
186,0.125029,3.50799,1.07595,0,4.99222,10,0.943965,0.263194,0.124819,0.549173
