id,x,y,z,ablated,v,bulkheadyoungs,nickdepth,nickw,nickc,bbmin
1045,-0.29453,3.43262,0.641006,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
59,-0.32248,3.43286,0.496872,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
187,-0.24417,3.43216,0.773748,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
1045,-0.29453,3.43262,0.641006,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
616,-0.169447,3.43159,0.882984,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
187,-0.24417,3.43216,0.773748,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
16,-0.0770539,3.43104,0.963998,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
616,-0.169447,3.43159,0.882984,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
16,-0.0770539,3.43104,0.963998,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
615,0.0237318,3.43065,1.00928,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
615,0.0237318,3.43065,1.00928,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
186,0.125026,3.43053,1.02309,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
186,0.125026,3.43053,1.02309,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
1044,0.226324,3.43065,1.00927,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
1044,0.226324,3.43065,1.00927,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
38,0.327109,3.43104,0.963983,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
38,0.327109,3.43104,0.963983,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
664,0.419496,3.43159,0.882975,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
664,0.419496,3.43159,0.882975,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
235,0.49421,3.43216,0.773746,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
235,0.49421,3.43216,0.773746,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
1093,0.544556,3.43261,0.641011,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
1093,0.544556,3.43261,0.641011,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
60,0.572511,3.43286,0.496896,0,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
1045,-0.338409,3.43234,0.65114,1,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
59,-0.360374,3.43259,0.5021,1,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
187,-0.277984,3.43184,0.78482,1,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
1045,-0.338409,3.43234,0.65114,1,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
616,-0.190013,3.43122,0.889156,1,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
187,-0.277984,3.43184,0.78482,1,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
16,-0.0861079,3.43059,0.960422,1,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
616,-0.190013,3.43122,0.889156,1,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
16,-0.0861079,3.43059,0.960422,1,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
615,0.0216529,3.43015,0.993896,1,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
615,0.0216529,3.43015,0.993896,1,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
186,0.125027,3.43,0.998002,1,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
186,0.125027,3.43,0.998002,1,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
1044,0.228399,3.43015,0.993878,1,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
1044,0.228399,3.43015,0.993878,1,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
38,0.336169,3.43059,0.960425,1,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
38,0.336169,3.43059,0.960425,1,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
664,0.440055,3.43122,0.889133,1,3.49222,0.316,1.00987,0.327778,0.124843,0.518202
