id,x,y,z,ablated,v,bulkheadyoungs,nickdepth,nickw,nickc,bbmin
1045,-0.245686,3.42408,0.639402,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
59,-0.26362,3.4241,0.499756,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
187,-0.206992,3.42399,0.770656,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
1045,-0.245686,3.42408,0.639402,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
616,-0.145226,3.42379,0.882191,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
187,-0.206992,3.42399,0.770656,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
16,-0.0672333,3.42363,0.970908,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
616,-0.145226,3.42379,0.882191,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
16,-0.0672333,3.42363,0.970908,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
615,0.0258804,3.4234,1.02207,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
615,0.0258804,3.4234,1.02207,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
186,0.125003,3.42338,1.03862,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
186,0.125003,3.42338,1.03862,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
1044,0.224137,3.42342,1.02206,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
1044,0.224137,3.42342,1.02206,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
38,0.317248,3.42352,0.97092,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
38,0.317248,3.42352,0.97092,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
664,0.395229,3.42374,0.882201,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
664,0.395229,3.42374,0.882201,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
235,0.456986,3.42392,0.770676,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
235,0.456986,3.42392,0.770676,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
1093,0.495694,3.42401,0.639423,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
1093,0.495694,3.42401,0.639423,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
60,0.513614,3.42399,0.499771,0,3.49222,100,0.798906,0.198611,0.124845,0.500989
1045,-0.253121,3.42712,0.644839,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
59,-0.275323,3.42748,0.50558,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
187,-0.209848,3.42678,0.774633,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
1045,-0.253121,3.42712,0.644839,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
616,-0.144556,3.42666,0.882797,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
187,-0.209848,3.42678,0.774633,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
16,-0.0651302,3.42641,0.968179,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
616,-0.144556,3.42666,0.882797,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
16,-0.0651302,3.42641,0.968179,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
615,0.0273849,3.42648,1.01688,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
615,0.0273849,3.42648,1.01688,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
186,0.124906,3.42627,1.03334,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
186,0.124906,3.42627,1.03334,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
1044,0.222498,3.42576,1.01719,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
1044,0.222498,3.42576,1.01719,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
38,0.314875,3.42639,0.968442,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
38,0.314875,3.42639,0.968442,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
664,0.394506,3.42669,0.882882,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
664,0.394506,3.42669,0.882882,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
235,0.459992,3.42683,0.774569,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
235,0.459992,3.42683,0.774569,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
1093,0.503194,3.42712,0.644739,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
1093,0.503194,3.42712,0.644739,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
60,0.525308,3.4276,0.505504,1,3.49222,100,0.798906,0.198611,0.124845,0.500989
1045,-0.246756,3.42694,0.641207,0,3.99222,100,0.800234,0.198611,0.124849,0.502317
59,-0.265852,3.42724,0.501118,0,3.99222,100,0.800234,0.198611,0.124849,0.502317
187,-0.207457,3.42692,0.772394,0,3.99222,100,0.800234,0.198611,0.124849,0.502317
1045,-0.246756,3.42694,0.641207,0,3.99222,100,0.800234,0.198611,0.124849,0.502317
616,-0.145267,3.42678,0.883767,0,3.99222,100,0.800234,0.198611,0.124849,0.502317
187,-0.207457,3.42692,0.772394,0,3.99222,100,0.800234,0.198611,0.124849,0.502317
16,-0.0670512,3.42669,0.972209,0,3.99222,100,0.800234,0.198611,0.124849,0.502317
616,-0.145267,3.42678,0.883767,0,3.99222,100,0.800234,0.198611,0.124849,0.502317
16,-0.0670512,3.42669,0.972209,0,3.99222,100,0.800234,0.198611,0.124849,0.502317
615,0.0260556,3.42665,1.02316,0,3.99222,100,0.800234,0.198611,0.124849,0.502317
615,0.0260556,3.42665,1.02316,0,3.99222,100,0.800234,0.198611,0.124849,0.502317
186,0.124997,3.42678,1.03964,0,3.99222,100,0.800234,0.198611,0.124849,0.502317
186,0.124997,3.42678,1.03964,0,3.99222,100,0.800234,0.198611,0.124849,0.502317
1044,0.223957,3.42678,1.02311,0,3.99222,100,0.800234,0.198611,0.124849,0.502317
