id,x,y,z,ablated,v,bulkheadyoungs,nickdepth,nickw,nickc,bbmin
1045,-0.245686,3.42408,0.639402,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
59,-0.26362,3.4241,0.499756,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
187,-0.206992,3.42399,0.770656,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
1045,-0.245686,3.42408,0.639402,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
616,-0.145226,3.42379,0.882191,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
187,-0.206992,3.42399,0.770656,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
16,-0.0672333,3.42363,0.970908,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
616,-0.145226,3.42379,0.882191,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
16,-0.0672333,3.42363,0.970908,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
615,0.0258804,3.4234,1.02207,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
615,0.0258804,3.4234,1.02207,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
186,0.125003,3.42338,1.03862,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
186,0.125003,3.42338,1.03862,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
1044,0.224137,3.42342,1.02206,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
1044,0.224137,3.42342,1.02206,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
38,0.317248,3.42352,0.97092,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
38,0.317248,3.42352,0.97092,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
664,0.395229,3.42374,0.882201,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
664,0.395229,3.42374,0.882201,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
235,0.456986,3.42392,0.770676,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
235,0.456986,3.42392,0.770676,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
1093,0.495694,3.42401,0.639423,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
1093,0.495694,3.42401,0.639423,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
60,0.513614,3.42399,0.499771,0,3.49222,100,0.702031,0.134028,0.124845,0.500989
1045,-0.246556,3.42811,0.639911,1,3.49222,100,0.702031,0.134028,0.124845,0.500989
59,-0.265121,3.42856,0.500238,1,3.49222,100,0.702031,0.134028,0.124845,0.500989
187,-0.207141,3.42782,0.770941,1,3.49222,100,0.702031,0.134028,0.124845,0.500989
1045,-0.246556,3.42811,0.639911,1,3.49222,100,0.702031,0.134028,0.124845,0.500989
616,-0.145019,3.42761,0.882077,1,3.49222,100,0.702031,0.134028,0.124845,0.500989
187,-0.207141,3.42782,0.770941,1,3.49222,100,0.702031,0.134028,0.124845,0.500989
16,-0.0669168,3.42738,0.970472,1,3.49222,100,0.702031,0.134028,0.124845,0.500989
616,-0.145019,3.42761,0.882077,1,3.49222,100,0.702031,0.134028,0.124845,0.500989
16,-0.0669168,3.42738,0.970472,1,3.49222,100,0.702031,0.134028,0.124845,0.500989
615,0.0260453,3.42721,1.02132,1,3.49222,100,0.702031,0.134028,0.124845,0.500989
615,0.0260453,3.42721,1.02132,1,3.49222,100,0.702031,0.134028,0.124845,0.500989
186,0.125037,3.42722,1.03782,1,3.49222,100,0.702031,0.134028,0.124845,0.500989
186,0.125037,3.42722,1.03782,1,3.49222,100,0.702031,0.134028,0.124845,0.500989
1044,0.223991,3.42726,1.02131,1,3.49222,100,0.702031,0.134028,0.124845,0.500989
1044,0.223991,3.42726,1.02131,1,3.49222,100,0.702031,0.134028,0.124845,0.500989
