id,x,y,z,ablated,v,bulkheadyoungs,nickdepth,nickw,nickc,bbmin
1045,-0.344378,3.4313,0.646492,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
59,-0.368159,3.43157,0.498774,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
187,-0.280884,3.43056,0.777841,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
1045,-0.344378,3.4313,0.646492,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
616,-0.190171,3.42961,0.879124,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
187,-0.280884,3.43056,0.777841,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
16,-0.0845865,3.42868,0.947438,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
616,-0.190171,3.42961,0.879124,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
16,-0.0845865,3.42868,0.947438,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
615,0.022355,3.42805,0.983738,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
615,0.022355,3.42805,0.983738,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
186,0.12505,3.42784,0.994712,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
186,0.12505,3.42784,0.994712,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
1044,0.227743,3.42805,0.983717,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
1044,0.227743,3.42805,0.983717,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
38,0.334694,3.42868,0.947447,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
38,0.334694,3.42868,0.947447,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
664,0.440282,3.4296,0.879144,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
664,0.440282,3.4296,0.879144,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
235,0.53096,3.43055,0.777838,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
235,0.53096,3.43055,0.777838,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
1093,0.594434,3.43128,0.646495,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
1093,0.594434,3.43128,0.646495,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
60,0.618183,3.43155,0.498786,0,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
1045,-0.344578,3.43121,0.647848,1,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
59,-0.368255,3.43154,0.500118,1,3.49222,0.01,0.628601,0.0694444,0.124833,0.524434
