p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.545036,3.92159,0.979413,5.08791,1.12403,0.885031,1.77,1.21293,1,2.5,2.36832,15.8042,18.1305,16.4147,0.130626
0.808451,4.38628,1.02891,5.217,1.17808,0.928131,1.77,1.21293,1,2.5,3.60278,15.8042,19.3431,16.4147,0.186256
1.04977,4.85096,1.07241,5.35085,1.2266,0.966784,1.77,1.21293,1,2.5,4.80905,15.8042,20.5282,16.4147,0.234265
1.27313,5.31564,1.1121,5.48311,1.27058,1.00247,1.77,1.21293,1,2.5,5.98397,15.8042,21.6829,16.4147,0.275977
1.47913,5.78033,1.14851,5.61452,1.31166,1.0358,1.77,1.21293,1,2.5,7.1329,15.8042,22.8121,16.4147,0.312681
1.67172,6.24501,1.18259,5.74164,1.34985,1.06715,1.77,1.21293,1,2.5,8.25519,15.8042,23.9151,16.4147,0.345188
1.85259,6.7097,1.21482,5.86281,1.38628,1.09645,1.77,1.21293,1,2.5,9.35055,15.8042,24.9915,16.4147,0.374149
2.02257,7.17438,1.2453,5.98058,1.42068,1.12408,1.77,1.21293,1,2.5,10.4226,15.8042,26.0452,16.4147,0.400174
2.18307,7.63907,1.2743,6.0941,1.45361,1.15057,1.77,1.21293,1,2.5,11.4733,15.8042,27.0777,16.4147,0.423718
2.33575,8.10375,1.30202,6.20362,1.4851,1.17574,1.77,1.21293,1,2.5,12.5035,15.8042,28.0901,16.4147,0.44512
2.48104,8.56844,1.3285,6.31002,1.51532,1.19984,1.77,1.21293,1,2.5,13.5196,15.8042,29.088,16.4147,0.464783
2.61946,9.03312,1.35395,6.41307,1.54438,1.223,1.77,1.21293,1,2.5,14.5216,15.8042,30.0715,16.4147,0.482903
