p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
1.09788,4.48858,0,0,0,0,1.77,9,1,2.5,0,0,0,0,0
1.2871,4.78785,1.02343,5.3694,1.28525,0.840504,1.77,9,1,2.5,5.8448,15.8042,20.5891,38.74,0.283879
1.46561,5.08713,1.04288,5.49915,1.31427,0.852817,1.77,9,1,2.5,6.87428,15.8042,21.4024,38.74,0.321192
1.63297,5.3864,1.05973,5.61847,1.34338,0.8627,1.77,9,1,2.5,7.86812,15.8042,22.1956,38.74,0.354491
1.80875,5.68567,1.07901,5.72529,1.36958,0.874688,1.77,9,1,2.5,8.85508,15.8042,22.9734,38.74,0.385449
1.97044,5.98494,1.09752,5.82752,1.39489,0.886021,1.77,9,1,2.5,9.83079,15.8042,23.7345,38.74,0.414199
2.13171,6.28421,1.11489,5.92561,1.42,0.897034,1.77,9,1,2.5,10.7919,15.8042,24.4835,38.74,0.440782
2.28048,6.58349,1.13104,6.02757,1.44335,0.907891,1.77,9,1,2.5,11.743,15.8042,25.2268,38.74,0.4655
2.43447,6.88276,1.14918,6.10767,1.46865,0.91888,1.77,9,1,2.5,12.6717,15.8042,25.9441,38.74,0.488424
2.57727,7.18203,1.16453,6.20128,1.49111,0.929138,1.77,9,1,2.5,13.5884,15.8042,26.6613,38.74,0.509666
