p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.513987,3.88807,0.979628,5.07452,1.11521,0.891756,1.77,1,1,2.5,2.22676,15.8042,18.031,15.8042,0.123496
0.764937,4.33599,1.02903,5.1921,1.16748,0.935889,1.77,1,1,2.5,3.38915,15.8042,19.1934,15.8042,0.176579
0.994372,4.78391,1.07177,5.3214,1.21342,0.975076,1.77,1,1,2.5,4.53322,15.8042,20.3375,15.8042,0.2229
1.20677,5.23184,1.11109,5.44814,1.2565,1.01136,1.77,1,1,2.5,5.64787,15.8042,21.4521,15.8042,0.263278
1.40482,5.67976,1.14738,5.57222,1.29618,1.04512,1.77,1,1,2.5,6.73778,15.8042,22.542,15.8042,0.298899
1.58987,6.12768,1.18132,5.6921,1.33368,1.07672,1.77,1,1,2.5,7.80195,15.8042,23.6062,15.8042,0.330504
1.76357,6.5756,1.21329,5.80836,1.36908,1.10635,1.77,1,1,2.5,8.84294,15.8042,24.6472,15.8042,0.358781
1.92671,7.02353,1.24348,5.92149,1.40261,1.13434,1.77,1,1,2.5,9.8627,15.8042,25.6669,15.8042,0.384257
2.08129,7.47145,1.27221,6.03047,1.43476,1.16092,1.77,1,1,2.5,10.8613,15.8042,26.6655,15.8042,0.407315
2.22778,7.91937,1.29968,6.13619,1.46547,1.18626,1.77,1,1,2.5,11.843,15.8042,27.6472,15.8042,0.42836
2.36761,8.3673,1.32596,6.23864,1.49498,1.21063,1.77,1,1,2.5,12.811,15.8042,28.6153,15.8042,0.447699
2.50096,8.81522,1.35124,6.33797,1.52351,1.23398,1.77,1,1,2.5,13.7643,15.8042,29.5685,15.8042,0.465505
